symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
LTCUSDT,110.83,111.91,108.76,108.89,214891.815,8595592922.546476,76259889.48347135,84000000.0,451962389.13554525,0.052580711209582236
ETHUSDT,4373.7,4498.47,4372.63,4391.83,356586.1861,539200004535.7766,120705309.85690114,120705309.85690114,36125746690.82203,0.06699878780958919
BTCUSDT,108816.33,109480.02,108076.93,108246.35,9489.51596,2228150942468.6865,19915362.0,19915362.0,58135210165.125854,0.026091235138995913
BNBUSDT,862.0,867.7,857.0,857.65,94241.193,119005478066.67957,139187650.13,139187650.13,1893564830.6291215,0.015911577024783217
NEOUSDT,6.925,7.033,6.662,6.677,751180.85,465260245.79569703,70538831.0,100000000.0,26477172.55774845,0.0569083062587191
QTUMUSDT,2.963,3.019,2.705,2.715,3055139.9,288440172.9031577,105794505.5,107822406.0,112986244.7945767,0.3917146618564511
XRPUSDT,2.818,2.8693,2.7707,2.7757,56440031.3,168884555501.68405,59482264023.0,99985819185.0,4281698868.9289823,0.02535281486344254
ADAUSDT,0.8225,0.838,0.8094,0.8113,70084168.9,29874088743.32145,35740930890.560295,44994598363.527115,844435990.7792861,0.02826650205248739
IOTAUSDT,0.1928,0.1963,0.1892,0.1892,7380237.0,754821409.7889189,4011255526.0,4600000000.0,16309951.12277574,0.0216076954247187
TUSDUSDT,0.9967,0.9971,0.9959,0.9966,419576.0,493041092.38673514,494515083.0,494515083.0,48658687.09324975,0.09869093640390221
XLMUSDT,0.36,0.3649,0.3521,0.3528,36067170.0,11448418824.831518,31714050706.855724,50001786886.69552,204483640.4503162,0.017861299763666315
TRXUSDT,0.339,0.3438,0.339,0.341,175641360.9,32343213824.379143,94660548301.9893,94660543185.7987,693422110.4072889,0.02143949312435403
ETCUSDT,20.94,21.24,20.67,20.68,325904.47,3189522527.8643193,153376611.61017925,210700000.0,102506660.37536341,0.03213855976242347
ICXUSDT,0.128,0.1307,0.1268,0.1276,5632712.6,139396343.93576598,1074889880.0979688,1088942604.184146,1664054.79952588,0.011937578508462738
VETUSDT,0.02471,0.02493,0.02413,0.02414,196808142.3,2058668111.6604722,85985041177.0,85985041177.0,38880621.64879708,0.01888629907296563
ONTUSDT,0.1554,0.1562,0.1464,0.1466,12082689.0,128481853.50381164,914697857.0,1000000000.0,10533442.81042725,0.08198389518185739
USDCUSDT,0.9998,0.9999,0.9997,0.9999,899383265.0,72688579630.2755,72692307905.38547,72692307905.38547,12988733047.0145,0.1786901479308115
LINKUSDT,23.51,24.06,23.18,23.2,4221549.06,16171092464.880583,678099970.4527867,1000000000.0,823639318.9622904,0.05093281859287004
ONGUSDT,0.1694,0.1712,0.1658,0.1664,4957759.0,71077268.44373041,423506273.0414432,1000000000.0,3172175.74131413,0.04462996131914438
HOTUSDT,0.000954,0.000979,0.000935,0.000935,598325074.0,164817860.58295238,175026802279.06143,177619433541.14133,5631381.14785252,0.034167299150314245
ZILUSDT,0.0113,0.01172,0.01121,0.01122,87122059.3,223506132.33815554,19518923624.075005,20200078738.979336,12789698.12910804,0.05722303005878047
ZRXUSDT,0.251,0.275,0.2503,0.2637,23231265.0,233089904.0736245,848396562.8973439,1000000000.0,53618285.72310606,0.23003263884895683
FETUSDT,0.625,0.635,0.613,0.613,8221564.0,1472183173.448247,2378126993.9887285,2714493896.672,63778220.99068902,0.04332220483223114
BATUSDT,0.1534,0.158,0.1507,0.1507,4886681.0,233778021.65298063,1495696056.9526057,1500000000.0,11721728.39527038,0.050140420867578715
ZECUSDT,40.05,41.44,39.91,40.43,34049.293,667756476.8000168,16198182.5405448,16198182.5405448,87730638.19476013,0.13138118646962096
IOSTUSDT,0.003363,0.003385,0.00327,0.003273,183283735.0,91106272.11035168,27544260136.0,46493890628.0,8733043.14229528,0.09585556449634398
CELRUSDT,0.00789,0.00826,0.00755,0.00756,131209939.8,60317044.11299408,7803424106.9912,10000000000.0,5621056.34585102,0.09319184035810663
DASHUSDT,24.25,24.87,23.58,23.6,169642.549,295903027.1553655,12398977.45026203,12398977.45026203,32614605.38651136,0.11022058712967096
ENJUSDT,0.068,0.0705,0.0673,0.0673,18997427.8,127739141.44941615,1879417692.8187156,1923161849.9242923,9997845.79763187,0.07826767648654465
TFUELUSDT,0.03462,0.0352,0.03441,0.03448,13794306.0,242354720.8488707,7058314076.0,7058314076.0,1263232.39258253,0.005212328392687946
ONEUSDT,0.01074,0.01114,0.01033,0.01034,195776771.1,150653364.273543,14701343726.762915,14701343726.762915,8296854.01183136,0.05507247748391911
ATOMUSDT,4.504,4.618,4.462,4.467,862657.87,2106414326.4279113,466580260.0,466580260.0,102830535.54274055,0.04881781055730005
THETAUSDT,0.784,0.816,0.78,0.781,4207965.0,791394016.7244098,1000000000.0,1000000000.0,26710042.78967855,0.03375062513137485
