symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
BTCUSDT,108377.4,108926.15,107350.1,108816.33,10708.39159,2227504676805.5234,19915362.0,19915362.0,62100883798.921364,0.027879126111636534
ETHUSDT,4360.18,4415.61,4257.2,4373.7,340319.1826,538088392887.82367,120705395.86464128,120705395.86464128,36256021674.273094,0.06737930450365885
XRPUSDT,2.8195,2.8349,2.7604,2.8181,68213469.6,169253403843.2214,59482264023.0,99985819185.0,4570038482.468448,0.027001161446074385
BNBUSDT,862.3,864.0,851.61,862.0,101039.981,118966576709.50824,139187655.42000002,139187655.42000002,1923103528.0109873,0.016165074100659448
SOLUSDT,205.09,207.06,197.52,202.7,3894576.115,112994511841.44676,541036853.2239518,608899970.6233093,7374570803.275006,0.06526485829349801
USDCUSDT,0.9998,1.0,0.9997,0.9998,1147376224.0,72681507471.62485,72686734556.44577,72686734556.44577,13134407859.244661,0.18071182500407532
DOGEUSDT,0.21391,0.21885,0.21126,0.21595,538763691.0,33339757388.144344,150792576383.70526,150792576383.70526,1795054041.1994114,0.053841244862739605
TRXUSDT,0.3386,0.3408,0.336,0.339,202396931.9,32362855425.034348,94660200274.91591,94660197750.38931,698278608.0960133,0.02157654505219767
ADAUSDT,0.8266,0.8444,0.8054,0.8224,81522223.5,30000068315.596714,35740930890.560295,44994598363.527115,897643628.6906434,0.029921386153109797
LINKUSDT,23.43,23.52,22.83,23.51,2759889.54,16096533023.361109,678099970.4527867,1000000000.0,862842846.8832147,0.05360426656044252
WBETHUSDT,4695.27,4755.19,4588.81,4712.63,506.7109,14708715407.660759,3064163.30079143,3064163.30079143,4950453.62345879,0.00033656600772086724
WBTCUSDT,108635.29,109071.87,107568.0,108947.74,48.49197,14273794922.640898,127404.59964837,127404.59964837,199247502.52220505,0.013958971920365859
SUIUSDT,3.2823,3.3445,3.2236,3.3065,23271546.0,12097179253.803787,3568833706.3227763,10000000000.0,861777091.7070897,0.07123785418291756
BCHUSDT,530.8,554.3,524.0,552.8,38450.048,11944270152.164064,19920521.875,19920521.875,725097191.3921379,0.06070669719913901
XLMUSDT,0.3613,0.3625,0.3518,0.36,45077663.0,11477264542.14708,31714039865.388065,50001786886.69552,213668381.06107196,0.018616664299793206
AVAXUSDT,23.54,23.94,23.1,23.78,1173614.41,10632800877.764936,422275285.48916084,457277985.48916084,792575036.7310691,0.07454056986889347
HBARUSDT,0.22797,0.22951,0.22028,0.22574,107200716.0,9305806762.290659,42392927394.96641,50000000000.0,192407964.802737,0.020676118655549545
LTCUSDT,109.91,111.27,108.3,110.84,227194.068,8584813686.332546,76259283.23347135,84000000.0,449937815.11150485,0.05241090040519207
TONUSDT,3.075,3.142,3.035,3.127,5418097.8,8176111717.765369,2568057975.10772,5139574540.667106,137226081.50742888,0.016783782590599733
SHIBUSDT,1.22e-05,1.248e-05,1.203e-05,1.234e-05,671373880670.0,7377488376.93284,589245936190314.2,589500939003821.4,146757276.11460465,0.019892579780060374
DOTUSDT,3.775,3.825,3.712,3.811,3739627.01,6264374685.241279,1613801024.9413722,1613801024.9413722,210516658.321547,0.033605374662138164
UNIUSDT,9.633,9.827,9.404,9.726,2466593.28,6107660504.535633,628739836.71,1000000000.0,286308338.8626684,0.0468769242576682
WLFIUSDT,0.2,0.478,0.2,0.2335,3885050969.0,5297111337.126937,24669070265.0,100000000000.0,1081932569.533939,0.20424954294443068
AAVEUSDT,319.2,319.78,310.25,319.39,96835.421,4983422685.896221,15225878.53952248,16000000.0,470409712.07262576,0.09439490521322838
ENAUSDT,0.6414,0.6825,0.6238,0.6545,108065571.87,4804609314.4403105,6621875000.0,15000000000.0,656944629.4073883,0.13673216413932626
PEPEUSDT,9.78e-06,1.006e-05,9.68e-06,9.84e-06,4415578105250.0,4176379721.8994293,420689899653543.56,420689899653543.56,389541370.7768615,0.09327249836365381
ETCUSDT,20.93,21.12,20.56,20.94,283676.4,3206562726.621306,153374194.77805823,210700000.0,101902920.69844176,0.03177948769017687
TAOUSDT,319.5,325.2,314.6,322.8,34528.3529,3187705796.2343817,9795986.71495502,21000000.0,85819796.07465655,0.026922119405132987
NEARUSDT,2.43,2.464,2.393,2.435,3638301.6,3101346740.2068143,1249836992.0,1269037038.0,130948902.88221203,0.04222323843527398
APTUSDT,4.261,4.34,4.185,4.328,2421242.93,3020145949.3383045,687777922.495527,1173245300.3972461,85870036.74777892,0.02843241293242551
ONDOUSDT,0.9058,0.9214,0.8933,0.9083,11219821.1,2986659236.4151173,3159107529.0,10000000000.0,216804494.8024512,0.07259097126282184
POLUSDT,0.2413,0.2594,0.2367,0.257,86181622.6,2949038473.674841,10496230782.905375,10496230792.905375,250215664.8324105,0.08484652440651716
ARBUSDT,0.4908,0.5037,0.4794,0.4992,68458998.3,2715911778.704812,5295780056.0,10000000000.0,328775253.28015333,0.12105520358137059
USD1USDT,1.0001,1.001,0.9999,1.001,25083575.0,2672157205.4967384,2672626551.2610435,2672626551.2610435,432530733.2941854,0.1618657511633117
ICPUSDT,4.904,4.95,4.808,4.853,1272952.13,2627497465.431575,537442643.9632682,537442643.9632682,64828961.8984476,0.024673272858057444
BNSOLUSDT,219.6,221.7,211.6,217.1,10290.116,2346478592.9675107,10488789.87528284,10488789.87528284,4720471.92024022,0.002011725968601487
ATOMUSDT,4.483,4.56,4.418,4.505,964652.69,2108400548.4516206,466423500.0,466423500.0,103473778.25493605,0.04907690729397966
VETUSDT,0.02424,0.02477,0.02415,0.02471,191258210.8,2059437482.688536,85985041177.0,85985041177.0,42770528.69153203,0.02076806363439416
ALGOUSDT,0.2364,0.2373,0.2296,0.2337,21725657.0,2039647004.7943108,8732519856.419783,10000000000.0,51592379.02932958,0.025294758802900035
PENGUUSDT,0.029284,0.030654,0.028688,0.029775,1236362097.0,1932970632.0858772,62860396090.04,88888888888.0,357928116.7312792,0.18516997143667796
RENDERUSDT,3.463,3.543,3.382,3.486,1750847.47,1808677281.0436926,518584616.1640741,533344789.44407415,45983273.94264505,0.025423702959386167
WLDUSDT,0.904,0.923,0.887,0.904,10261800.2,1805367846.2051098,1999690244.3982515,10000000000.0,109720249.61652038,0.06077445648938124
SEIUSDT,0.2878,0.2915,0.2811,0.2875,49674380.8,1766635482.3956876,6006666666.0,10000000000.0,146303959.06786254,0.08281502354377238
TRUMPUSDT,8.37,8.42,8.23,8.37,1368374.994,1683700580.4595728,199999277.08911,999999303.996844,231669792.9245307,0.1375956007933997
BONKUSDT,2.181e-05,2.331e-05,2.114e-05,2.242e-05,1957198654489.0,1665947049.418765,81003476801605.19,87995338855157.11,167656197.64295378,0.10063717073207556
BFUSDUSDT,0.9993,0.9997,0.9991,0.9995,6320816.0,1659318215.736444,1660000100.0,1660000100.0,5055018.23355681,0.003046442921928194
FILUSDT,2.27,2.306,2.231,2.291,3574730.03,1601515685.936609,685511471.0,1959106348.0,154346552.4379227,0.09637529859575288
JUPUSDT,0.5086,0.5171,0.4911,0.5027,11687504.9,1541372749.8623896,3111744444.42,6999011904.099243,45316917.97947516,0.02940036275036065
FETUSDT,0.617,0.628,0.607,0.625,7018518.6,1478483062.8224063,2378115753.9887285,2714493896.672,64148693.58701957,0.04338818292890044
FDUSDUSDT,0.9976,0.9979,0.9974,0.9977,310665961.0,1450009208.9311254,1452465952.200666,1452465952.200666,5033073410.001396,3.4710630656694432
FORMUSDT,3.6188,3.8264,3.5683,3.7578,3300473.9,1384778666.763737,381867255.144574,572301922.0959299,48320768.64171158,0.03489421797249263
INJUSDT,12.98,13.21,12.78,12.92,439304.6,1329854397.825551,99970935.41,100000000.0,98102584.65480474,0.07376941777627127
OPUSDT,0.6933,0.7222,0.6786,0.7066,14610021.54,1285552826.5354755,1778634390.0,4294967296.0,114385139.68975942,0.08897739348294521
TIAUSDT,1.616,1.684,1.582,1.638,5294713.87,1257816936.9551578,768052419.228612,1143428272.985888,69357631.00572135,0.055141276101447506
QNTUSDT,102.19,104.82,100.88,104.42,13635.436,1227225992.706536,12072738.0,14881364.0,16699946.99099472,0.01360788240327643
STXUSDT,0.622,0.63,0.61,0.625,2227852.4,1144554478.1776805,1796088231.4377,1796088231.4377,30649744.51393091,0.0267787554881008
LDOUSDT,1.2133,1.2393,1.1914,1.208,6589146.19,1119329102.1172297,895647172.7865461,1000000000.0,84873673.4861568,0.07582548628961476
CRVUSDT,0.7634,0.783,0.7513,0.7784,9243103.2,1091107931.7788577,1384532490.620405,2300782706.5467763,96889441.15973324,0.08879913557384943
PAXGUSDT,3461.83,3466.73,3452.66,3462.72,2012.4206,1015681177.4443982,284178.535,284178.535,128647368.0079388,0.12666117169920812
IMXUSDT,0.515,0.525,0.506,0.516,2088760.35,1003284538.0189223,1915420869.3898141,2000000000.0,25339153.00795086,0.025256198065192303
