symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
GRTUSDT,0.0895,0.0919,0.0884,0.0884,28656306.0,937095350.6545063,10468429097.052649,11343466643.985775,38899878.14215366,0.0415111206292768
PYTHUSDT,0.1925,0.2013,0.1808,0.1843,178684868.9,922881311.8379937,5749984573.62627,9999984573.62627,146900814.39408144,0.15917628031877298
RAYUSDT,3.458,3.642,3.401,3.455,4379763.4,911693941.0539794,268127089.855586,554998191.170841,56576144.76100547,0.06205607190456881
KAIAUSDT,0.1493,0.1532,0.1466,0.1468,15158135.5,909451849.9042284,6110066641.565627,6110066632.047218,18677548.09689317,0.020537148941815932
CFXUSDT,0.1964,0.2038,0.1894,0.1901,86488794.0,907076077.4311467,5132214056.81,5132214056.81,45202188.2398209,0.04983285235328241
SUSDT,0.316,0.321,0.3101,0.3104,31173865.6,889660112.0605246,2880000000.0,3222625000.0,59043538.48252176,0.06636639957452084
FLOKIUSDT,9.402e-05,9.75e-05,9.221e-05,9.226e-05,98923417687.0,888207654.5472665,9539614120003.54,9657981612922.992,49675818.85519256,0.05592815891742468
ENSUSDT,23.29,23.68,22.03,22.43,482860.45,841921916.0715512,36777219.5921461,100000000.0,53823341.94758635,0.06392913751280961
CAKEUSDT,2.5,2.526,2.462,2.464,1813479.92,825867329.1463858,345518369.7144422,362271733.25055647,57396561.66612544,0.06949852553853943
NEXOUSDT,1.242,1.252,1.211,1.223,667621.22,821606951.9233202,646145839.5746847,1000000000.0,10281710.29011564,0.012514147143043188
WIFUSDT,0.807,0.817,0.783,0.783,12835959.58,820155538.9031911,998840054.019131,998840054.019131,147791409.80253372,0.1801992461090708
PENDLEUSDT,4.809,4.879,4.602,4.613,4001270.7,801228526.1243446,169291837.19973183,281527448.45853144,86094450.39881349,0.10745305189677218
THETAUSDT,0.784,0.816,0.78,0.781,4207965.0,791394016.7244098,1000000000.0,1000000000.0,26710042.78967855,0.03375062513137485
AUSDT,0.4949,0.5016,0.4828,0.4869,5083910.0,772233379.1870649,1588573100.1065,2100000000.0,35950178.23482532,0.04655351504317297
XTZUSDT,0.737,0.749,0.7173,0.7199,2479691.4,769674080.059648,1056072557.212367,1076136536.767433,18774125.30529024,0.02439230551175023
IOTAUSDT,0.1928,0.1963,0.1892,0.1892,7380237.0,754821409.7889189,4011255526.0,4600000000.0,16309951.12277574,0.0216076954247187
