symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
SPKUSDT,0.05976,0.0603,0.05744,0.057948,86989020.0,98055482.0526332,1631937871.4414046,10000000000.0,41566678.77365178,0.4239097896774405
HIVEUSDT,0.2026,0.2056,0.1984,0.1984,1832404.0,98038989.04816987,487070868.352,487070868.352,1226720.98533201,0.01251258297583302
SIGNUSDT,0.07079,0.07132,0.06995,0.07084,19602073.0,97135856.33475472,1350000000.0,10000000000.0,24411506.34671517,0.25131302968686403
PEOPLEUSDT,0.01919,0.01952,0.01862,0.01864,121453923.3,94945747.56368606,5060137334.7,5060137334.7,25642763.44264702,0.27007806142604557
BICOUSDT,0.1071,0.1164,0.1052,0.1055,15027891.92,94895559.39117272,978270075.1767402,1000000000.0,6898091.79405889,0.07269140767297651
TRBUSDT,33.78,34.21,32.99,33.04,51359.527,94306159.84087722,2710544.0,2784795.0,28810174.31188829,0.3054962089485957
XVGUSDT,0.005607,0.005713,0.005377,0.005383,179885327.0,92409212.58587301,16521951235.741348,16521951235.741348,6661009.66312694,0.0720816623876875
CYBERUSDT,2.01,2.064,1.873,1.882,3322294.46,92165582.93714336,51078133.0,100000000.0,11971325.4274721,0.12988932577615775
IOSTUSDT,0.003363,0.003385,0.00327,0.003273,183283735.0,91106272.11035168,27544260136.0,46493890628.0,8733043.14229528,0.09585556449634398
YGGUSDT,0.1569,0.1649,0.1554,0.1555,14407283.6,90415151.0354686,594969456.3894259,999716414.322777,19752973.42738968,0.2184697277079244
POWRUSDT,0.1616,0.1655,0.1593,0.1595,1091666.0,90313920.41687022,568075415.977105,1000000000.0,3668907.81536216,0.04062394588151247
CVCUSDT,0.0909,0.0917,0.0889,0.0889,2540019.0,89520550.64258938,1000000000.0,1000000000.0,7212352.21421594,0.08056644158737632
API3USDT,1.1181,1.194,1.0905,1.0949,4836530.96,89065186.81311738,86421978.0,151526604.45527676,24387134.78293047,0.2738122004291218
MANTAUSDT,0.206,0.2123,0.2007,0.2014,6156235.8,88752394.78053357,447152188.54624534,1000000000.0,8555619.91931611,0.0963987500334205
ILVUSDT,14.22,14.51,13.79,13.82,89235.205,88703922.25171927,6338464.32787597,9072421.97887894,15100851.50168884,0.17023882505258842
ACXUSDT,0.1563,0.1596,0.1521,0.1522,2387147.8,88434235.28397861,609227056.5951301,1000000000.0,5430413.76722595,0.06140623876927178
WAXPUSDT,0.02012,0.02058,0.01984,0.01985,20699066.0,88289729.33885437,4448107766.405597,4452986540.71772,2969714.30940231,0.03363601102461874
PIXELUSDT,0.03115,0.03227,0.03001,0.03006,45337421.7,87857011.71666978,2983899067.66,5000000000.0,8932023.38523187,0.10166545857531287
STRAXUSDT,0.04401,0.04428,0.04334,0.04362,13185464.0,87085557.38854907,2002601626.5961366,2077601626.5961366,697053.27085042,0.008004235050599514
FIDAUSDT,0.09,0.0919,0.0877,0.0878,11532058.3,86273888.33155611,990911314.539031,990911314.539031,7440912.17825075,0.08624755788976202
BNTUSDT,0.752,0.77,0.7419,0.7421,303366.4,86226189.38880353,115188101.74069732,115188101.74069732,5582733.42366829,0.06474521793483323
DIAUSDT,0.7098,0.7226,0.692,0.693,1288061.3,85643773.87210712,119676104.0,168817248.0,4196685.23665122,0.04900163837850234
ANIMEUSDT,0.01585,0.01599,0.01547,0.01549,71041006.2,85581212.52448648,5538604656.0,10000000000.0,16476213.26539554,0.19252138149691872
DOLOUSDT,0.2927,0.3719,0.2848,0.3264,238706378.3,84834770.86168522,441621967.0,998851995.6451048,193531541.676692,2.281276176159257
ARDRUSDT,0.08476,0.08579,0.0836,0.08381,3743816.0,84083295.74740115,998466231.2566,998466231.2566,6030507.45666319,0.07172063610327241
AUDIOUSDT,0.0633,0.0661,0.0624,0.0626,21805715.0,83959702.42619506,1352962367.0,1352962367.0,5052052.42476024,0.06017234790941829
PHAUSDT,0.1083,0.1113,0.1072,0.1073,10258133.0,83629091.27654861,809185855.2638077,1000000000.0,9892951.74203219,0.1182955786200966
ARKUSDT,0.4423,0.4496,0.4338,0.4346,701974.0,82652001.42156155,191068130.0,191068130.0,2626403.71300207,0.031776649903566836
