symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
IOTAUSDT,0.1875,0.1917,0.1838,0.1895,9097613.0,761766803.6900177,4011255526.0,4600000000.0,16086460.32420744,0.02111730288886864
TUSDUSDT,0.9966,0.9969,0.9965,0.9965,183389.0,493018079.43707025,494515083.0,494515083.0,49268356.34979408,0.09993214935656895
NEOUSDT,6.566,6.698,6.454,6.634,487934.7,468458392.55831385,70538831.0,100000000.0,25767360.1710711,0.055004586491346874
QTUMUSDT,2.648,2.73,2.566,2.681,1924864.7,284478301.42691106,105794225.0,107822406.0,88314349.54186721,0.3104431835359407
ICXUSDT,0.1282,0.1301,0.1271,0.1298,1674416.6,139566409.67735538,1074852056.5555851,1088925349.582088,1574460.71407517,0.011281086313783896
ONTUSDT,0.1401,0.1421,0.1378,0.1412,6354565.0,129282047.86767323,914697857.0,1000000000.0,8905550.51959386,0.06888466470386627
